uri,label,desc
http://purl.org/ontology/bibo/LegalCaseDocument,legal case document,A document accompanying a legal case.
http://purl.org/ontology/bibo/LegalDecision,decision,A document containing an authoritative determination (as a decree or judgment) made after consideration of facts or law.
http://purl.org/ontology/bibo/LegalDocument,legal document,"A legal document; for example, a court decision, a brief, and so forth."
http://purl.org/ontology/bibo/Legislation,legislation,A legal document proposing or enacting a law or a group of laws.
http://purl.org/ontology/bibo/Letter,letter,A written or printed communication addressed to a person or organization and usually transmitted by mail.
http://purl.org/ontology/bibo/Magazine,magazine,"A periodical of magazine Articles. A magazine is a publication that is issued periodically, usually bound in a paper cover, and typically contains essays, stories, poems, etc., by many writers, and often photographs and drawings, frequently specializing in a particular subject or area, as hobbies, news, or sports."
http://purl.org/ontology/bibo/Manual,manual,"A small reference book, especially one giving instructions."
http://purl.org/ontology/bibo/Manuscript,manuscript,"An unpublished Document, which may also be submitted to a publisher for publication."
http://purl.org/ontology/bibo/Map,map,A graphical depiction of geographic features.
http://purl.org/ontology/bibo/MultiVolumeBook,multivolume book,"A loose, thematic, collection of Documents, often Books."
http://purl.org/ontology/bibo/Series,series,"A loose, thematic, collection of Documents, often Books."
http://purl.org/ontology/bibo/Newspaper,newspaper,"A periodical of documents, usually issued daily or weekly, containing current news, editorials, feature articles, and usually advertising."
http://purl.org/ontology/bibo/Note,note,Notes or annotations about a resource.
http://purl.org/ontology/bibo/Patent,patent,"A document describing the exclusive right granted by a government to an inventor to manufacture, use, or sell an invention for a certain number of years."
http://purl.org/ontology/bibo/Performance,performance,A public performance.
http://purl.org/ontology/bibo/Periodical,periodical,A group of related documents issued at regular intervals.
http://purl.org/ontology/bibo/PersonalCommunication,personal communication,A communication between an agent and one or more specific recipients.
http://purl.org/ontology/bibo/PersonalCommunicationDocument,personal communication document,A personal communication manifested in some document.
http://purl.org/ontology/bibo/Proceedings,proceedings,"A compilation of documents published from an event, such as a conference."
http://purl.org/ontology/bibo/Quote,quote,An excerpted collection of words.
http://purl.org/ontology/bibo/ReferenceSource,reference source,"A document that presents authoritative reference information, such as a dictionary or encylopedia ."
http://purl.org/ontology/bibo/Report,report,"A document describing an account or statement describing in detail an event, situation, or the like, usually as the result of observation, inquiry, etc.."
http://purl.org/ontology/bibo/Slide,slide,A slide in a slideshow
http://purl.org/ontology/bibo/Slideshow,slideshow,"A presentation of a series of slides, usually presented in front of an audience with written text and images."
http://purl.org/ontology/bibo/Specification,specification,A document describing a specification.
http://purl.org/ontology/bibo/Standard,standard,A document describing a standard: a specification organized through a standards body.
http://purl.org/ontology/bibo/Statute,statute,A bill enacted into law.
http://purl.org/ontology/bibo/Thesis,thesis,A document created to summarize research findings associated with the completion of an academic degree.
http://purl.org/ontology/bibo/ThesisDegree,thesis degree,The academic degree of a Thesis
http://purl.org/ontology/bibo/Webpage,webpage,"A web page is an online document available (at least initially) on the world wide web. A web page is written first and foremost to appear on the web, as distinct from other online resources such as books, manuscripts or audio documents which use the web primarily as a distribution mechanism alongside other more traditional methods such as print."
http://purl.org/ontology/bibo/Website,website,A group of Webpages accessible on the Web.
http://purl.org/ontology/bibo/Workshop,workshop,"A seminar, discussion group, or the like, that emphasizes zxchange of ideas and the demonstration and application of techniques, skills, etc."
http://purl.org/ontology/bibo/degrees/ma,m.a.,masters degree in arts
http://purl.org/ontology/bibo/degrees/ms,m.s.,masters degree in science
http://purl.org/ontology/bibo/degrees/phd,phd degree,PhD degree
http://purl.org/ontology/bibo/status/accepted,accepted,Accepted for publication after peer reviewing.
http://purl.org/ontology/bibo/status/draft,draft,Document drafted
http://purl.org/ontology/bibo/status/forthcoming,forthcoming,Document to be published
http://purl.org/ontology/bibo/status/legal,legal,Legal document
http://purl.org/ontology/bibo/status/nonPeerReviewed,non peer reviewed,A document that is not peer reviewed
http://purl.org/ontology/bibo/status/peerReviewed,peer reviewed,The process by which articles are chosen to be included in a refereed journal. An editorial board consisting of experts in the same field as the author review the article and decide if it is authoritative enough for publication.
http://purl.org/ontology/bibo/status/published,published,Published document
http://purl.org/ontology/bibo/status/rejected,rejected,Rejected for publication after peer reviewing.
http://purl.org/ontology/bibo/status/unpublished,unpublished,Unpublished document
http://purl.org/dc/terms/Agent,agent,A resource that acts or has the power to act.
http://purl.org/dc/terms/AgentClass,agent class,A group of agents.
http://purl.org/dc/terms/BibliographicResource,bibliographic resource,"A book, article, or other documentary resource."
http://purl.org/dc/terms/Box,dcmi box,The set of regions in space defined by their geographic coordinates according to the DCMI Box Encoding Scheme.
http://purl.org/dc/terms/DCMIType,dcmi type vocabulary,"The set of classes specified by the DCMI Type Vocabulary, used to categorize the nature or genre of the resource."
http://purl.org/dc/terms/DDC,ddc,The set of conceptual resources specified by the Dewey Decimal Classification.
http://purl.org/dc/terms/FileFormat,file format,A digital resource format.
http://purl.org/dc/terms/Frequency,frequency,A rate at which something recurs.
http://purl.org/dc/terms/IMT,imt,The set of media types specified by the Internet Assigned Numbers Authority.
http://purl.org/dc/terms/ISO3166,iso 3166,The set of codes listed in ISO 3166-1 for the representation of names of countries.
http://purl.org/dc/terms/ISO639-2,iso 639-2,The three-letter alphabetic codes listed in ISO639-2 for the representation of names of languages.
http://purl.org/dc/terms/ISO639-3,iso 639-3,The set of three-letter codes listed in ISO 639-3 for the representation of names of languages.
http://purl.org/dc/terms/Jurisdiction,jurisdiction,"The extent or range of judicial, law enforcement, or other authority."
http://purl.org/dc/terms/LCC,lcc,The set of conceptual resources specified by the Library of Congress Classification.
http://purl.org/dc/terms/LCSH,lcsh,The set of labeled concepts specified by the Library of Congress Subject Headings.
http://purl.org/dc/terms/LicenseDocument,license document,A legal document giving official permission to do something with a Resource.
http://purl.org/dc/terms/LinguisticSystem,linguistic system,"A system of signs, symbols, sounds, gestures, or rules used in communication."
http://purl.org/dc/terms/Location,location,A spatial region or named place.
http://purl.org/dc/terms/LocationPeriodOrJurisdiction,"location, period, or jurisdiction","A location, period of time, or jurisdiction."
http://purl.org/dc/terms/MESH,mesh,The set of labeled concepts specified by the Medical Subject Headings.
http://purl.org/dc/terms/MediaType,media type,A file format or physical medium.
http://purl.org/dc/terms/MediaTypeOrExtent,media type or extent,A media type or extent.
http://purl.org/dc/terms/MethodOfAccrual,method of accrual,A method by which resources are added to a collection.
http://purl.org/dc/terms/MethodOfInstruction,method of instruction,"A process that is used to engender knowledge, attitudes, and skills."
http://purl.org/dc/terms/NLM,nlm,The set of conceptual resources specified by the National Library of Medicine Classification.
http://purl.org/dc/terms/Period,dcmi period,The set of time intervals defined by their limits according to the DCMI Period Encoding Scheme.
http://purl.org/dc/terms/PeriodOfTime,period of time,An interval of time that is named or defined by its start and end dates.
http://purl.org/dc/terms/PhysicalMedium,physical medium,A physical material or carrier.
http://purl.org/dc/terms/PhysicalResource,physical resource,A material thing.
http://purl.org/dc/terms/Point,dcmi point,The set of points in space defined by their geographic coordinates according to the DCMI Point Encoding Scheme.
http://purl.org/dc/terms/Policy,policy,"A plan or course of action by an authority, intended to influence and determine decisions, actions, and other matters."
http://purl.org/dc/terms/ProvenanceStatement,provenance statement,"A statement of any changes in ownership and custody of a resource since its creation that are significant for its authenticity, integrity, and interpretation."
http://purl.org/dc/terms/RFC1766,rfc 1766,"The set of tags, constructed according to RFC 1766, for the identification of languages."
http://purl.org/dc/terms/RFC3066,rfc 3066,The set of tags constructed according to RFC 3066 for the identification of languages.
http://purl.org/dc/terms/RFC4646,rfc 4646,The set of tags constructed according to RFC 4646 for the identification of languages.
http://purl.org/dc/terms/RFC5646,rfc 5646,The set of tags constructed according to RFC 5646 for the identification of languages.
http://purl.org/dc/terms/RightsStatement,rights statement,"A statement about the intellectual property rights (IPR) held in or over a Resource, a legal document giving official permission to do something with a resource, or a statement about access rights."
http://purl.org/dc/terms/SizeOrDuration,size or duration,"A dimension or extent, or a time taken to play or execute."
http://purl.org/dc/terms/Standard,standard,A basis for comparison; a reference point against which other things can be evaluated.
http://purl.org/dc/terms/TGN,tgn,The set of places specified by the Getty Thesaurus of Geographic Names.
http://purl.org/dc/terms/UDC,udc,The set of conceptual resources specified by the Universal Decimal Classification.
http://purl.org/dc/terms/URI,uri,The set of identifiers constructed according to the generic syntax for Uniform Resource Identifiers as specified by the Internet Engineering Task Force.
http://purl.org/dc/terms/W3CDTF,w3c-dtf,The set of dates and times constructed according to the W3C Date and Time Formats Specification.
http://purl.org/dc/terms/abstract,abstract,A summary of the resource.
http://purl.org/dc/terms/accessRights,access rights,Information about who can access the resource or an indication of its security status.
http://purl.org/dc/terms/accrualMethod,accrual method,The method by which items are added to a collection.
http://purl.org/dc/terms/accrualPeriodicity,accrual periodicity,The frequency with which items are added to a collection.
http://purl.org/dc/terms/accrualPolicy,accrual policy,The policy governing the addition of items to a collection.
http://purl.org/dc/terms/alternative,alternative title,An alternative name for the resource.
http://purl.org/dc/terms/audience,audience,A class of entity for whom the resource is intended or useful.
http://purl.org/dc/terms/available,date available,Date (often a range) that the resource became or will become available.
http://purl.org/dc/terms/bibliographicCitation,bibliographic citation,A bibliographic reference for the resource.
http://purl.org/dc/terms/conformsTo,conforms to,An established standard to which the described resource conforms.
http://purl.org/dc/terms/contributor,contributor,An entity responsible for making contributions to the resource.
http://purl.org/dc/terms/coverage,coverage,"The spatial or temporal topic of the resource, the spatial applicability of the resource, or the jurisdiction under which the resource is relevant."
http://purl.org/dc/terms/created,date created,Date of creation of the resource.
http://purl.org/dc/terms/creator,creator,An entity primarily responsible for making the resource.
http://purl.org/dc/terms/date,date,A point or period of time associated with an event in the lifecycle of the resource.
http://purl.org/dc/terms/dateAccepted,date accepted,Date of acceptance of the resource.
http://purl.org/dc/terms/dateCopyrighted,date copyrighted,Date of copyright.
http://purl.org/dc/terms/dateSubmitted,date submitted,Date of submission of the resource.
http://purl.org/dc/terms/description,description,An account of the resource.
http://purl.org/dc/terms/educationLevel,audience education level,"A class of entity, defined in terms of progression through an educational or training context, for which the described resource is intended."
http://purl.org/dc/terms/extent,extent,The size or duration of the resource.
http://purl.org/dc/terms/format,format,"The file format, physical medium, or dimensions of the resource."
http://purl.org/dc/terms/hasFormat,has format,"A related resource that is substantially the same as the pre-existing described resource, but in another format."
http://purl.org/dc/terms/hasPart,has part,A related resource that is included either physically or logically in the described resource.
http://purl.org/dc/terms/hasVersion,has version,"A related resource that is a version, edition, or adaptation of the described resource."
http://purl.org/dc/terms/identifier,identifier,An unambiguous reference to the resource within a given context.
http://purl.org/dc/terms/instructionalMethod,instructional method,"A process, used to engender knowledge, attitudes and skills, that the described resource is designed to support."
http://purl.org/dc/terms/isFormatOf,is format of,"A related resource that is substantially the same as the described resource, but in another format."
http://purl.org/dc/terms/isPartOf,is part of,A related resource in which the described resource is physically or logically included.
http://purl.org/dc/terms/isReferencedBy,is referenced by,"A related resource that references, cites, or otherwise points to the described resource."
http://purl.org/dc/terms/isReplacedBy,is replaced by,"A related resource that supplants, displaces, or supersedes the described resource."
http://purl.org/dc/terms/isRequiredBy,is required by,"A related resource that requires the described resource to support its function, delivery, or coherence."
http://purl.org/dc/terms/isVersionOf,is version of,"A related resource of which the described resource is a version, edition, or adaptation."
http://purl.org/dc/terms/issued,date issued,"Date of formal issuance (e.g., publication) of the resource."
http://purl.org/dc/terms/language,language,A language of the resource.
http://purl.org/dc/terms/license,license,A legal document giving official permission to do something with the resource.
http://purl.org/dc/terms/mediator,mediator,An entity that mediates access to the resource and for whom the resource is intended or useful.
http://purl.org/dc/terms/medium,medium,The material or physical carrier of the resource.
http://purl.org/dc/terms/modified,date modified,Date on which the resource was changed.
http://purl.org/dc/terms/provenance,provenance,"A statement of any changes in ownership and custody of the resource since its creation that are significant for its authenticity, integrity, and interpretation."
http://purl.org/dc/terms/publisher,publisher,An entity responsible for making the resource available.
http://purl.org/dc/terms/references,references,"A related resource that is referenced, cited, or otherwise pointed to by the described resource."
http://purl.org/dc/terms/relation,relation,A related resource.
http://purl.org/dc/terms/replaces,replaces,"A related resource that is supplanted, displaced, or superseded by the described resource."
http://purl.org/dc/terms/requires,requires,"A related resource that is required by the described resource to support its function, delivery, or coherence."
http://purl.org/dc/terms/rights,rights,Information about rights held in and over the resource.
http://purl.org/dc/terms/rightsHolder,rights holder,A person or organization owning or managing rights over the resource.
http://purl.org/dc/terms/source,source,A related resource from which the described resource is derived.
http://purl.org/dc/terms/spatial,spatial coverage,Spatial characteristics of the resource.
http://purl.org/dc/terms/subject,subject,The topic of the resource.
http://purl.org/dc/terms/tableOfContents,table of contents,A list of subunits of the resource.
http://purl.org/dc/terms/temporal,temporal coverage,Temporal characteristics of the resource.
http://purl.org/dc/terms/title,title,A name given to the resource.
http://purl.org/dc/terms/type,type,The nature or genre of the resource.
http://purl.org/dc/terms/valid,date valid,Date (often a range) of validity of a resource.
http://www.w3.org/2004/02/skos/core#prefLabel,preferred label,"A resource has no more than one value of skos:prefLabel per language tag, and no more than one value of skos:prefLabel without language tag."
http://www.w3.org/2004/02/skos/core#prefLabel,preferred label,The range of skos:prefLabel is the class of RDF plain literals.
http://www.w3.org/2004/02/skos/core#prefLabel,preferred label,"skos:prefLabel, skos:altLabel and skos:hiddenLabel are pairwise
      disjoint properties."
http://www.w3.org/2004/02/skos/core#altLabel,alternative label,The range of skos:altLabel is the class of RDF plain literals.
http://www.w3.org/2004/02/skos/core#altLabel,alternative label,"skos:prefLabel, skos:altLabel and skos:hiddenLabel are pairwise disjoint properties."
http://www.w3.org/2004/02/skos/core#hiddenLabel,hidden label,"skos:prefLabel, skos:altLabel and skos:hiddenLabel are pairwise disjoint properties."
http://www.w3.org/2004/02/skos/core#hiddenLabel,hidden label,The range of skos:hiddenLabel is the class of RDF plain literals.
http://www.w3.org/2004/02/skos/core#broader,has broader,Broader concepts are typically rendered as parents in a concept hierarchy (tree).
http://www.w3.org/2004/02/skos/core#narrower,has narrower,Narrower concepts are typically rendered as children in a concept hierarchy (tree).
http://www.w3.org/2004/02/skos/core#related,has related,skos:related is disjoint with skos:broaderTransitive
http://www.w3.org/2004/02/skos/core#memberList,has member list,"For any resource, every item in the list given as the value of the
      skos:memberList property is also a value of the skos:member property."
http://www.w3.org/2004/02/skos/core#mappingRelation,is in mapping relation with,"These concept mapping relations mirror semantic relations, and the data model defined below is similar (with the exception of skos:exactMatch) to the data model defined for semantic relations. A distinct vocabulary is provided for concept mapping relations, to provide a convenient way to differentiate links within a concept scheme from links between concept schemes. However, this pattern of usage is not a formal requirement of the SKOS data model, and relies on informal definitions of best practice."
http://www.w3.org/2004/02/skos/core#exactMatch,has exact match,skos:exactMatch is disjoint with each of the properties skos:broadMatch and skos:relatedMatch.
